question,chunk_id,filename
How can I optimize spatial query performance in ClickHouse?,docs/getting-started/example-datasets/foursquare-os-places.md::9000,docs/getting-started/example-datasets/foursquare-os-places.md
What indexing strategy can I use for faster search in geospatial data?,docs/getting-started/example-datasets/foursquare-os-places.md::9000,docs/getting-started/example-datasets/foursquare-os-places.md
How can I import Foursquare places data into a ClickHouse table?,docs/getting-started/example-datasets/foursquare-os-places.md::9000,docs/getting-started/example-datasets/foursquare-os-places.md
What is an example of how data skipping indices can optimize a query?,docs/best-practices/using_data_skipping_indices.md::6000,docs/best-practices/using_data_skipping_indices.md
How do I use EXPLAIN indexes to analyze the performance of a query on a large dataset?,docs/best-practices/using_data_skipping_indices.md::6000,docs/best-practices/using_data_skipping_indices.md
What type of information can I expect to see in the output of an EXPLAIN indexes query in ClickHouse?,docs/best-practices/using_data_skipping_indices.md::6000,docs/best-practices/using_data_skipping_indices.md
"How can I optimize the performance of my queries in ClickHouse, especially when using JOINs?",docs/dictionary/index.md::0,docs/dictionary/index.md
What is the benefit of using a dictionary to enrich ingested data in ClickHouse?,docs/dictionary/index.md::0,docs/dictionary/index.md
"Can I use a dictionary to speed up a LEFT ANY type of JOIN in ClickHouse and if so, how?",docs/dictionary/index.md::0,docs/dictionary/index.md
How do I avoid encoding issues with Oracle ODBC in ClickHouse?,docs/faq/integration/oracle-odbc.md::0,docs/faq/integration/oracle-odbc.md
What environment variable do I need to set for Oracle ODBC in ClickHouse?,docs/faq/integration/oracle-odbc.md::0,docs/faq/integration/oracle-odbc.md
How can I configure encoding for external dictionaries from Oracle in ClickHouse?,docs/faq/integration/oracle-odbc.md::0,docs/faq/integration/oracle-odbc.md
How can I automatically apply optimizations to reduce read volume in ClickHouse queries?,docs/guides/best-practices/prewhere.md::4000,docs/guides/best-practices/prewhere.md
What factors does ClickHouse consider when determining the order of PREWHERE filter columns for multi-step processing?,docs/guides/best-practices/prewhere.md::4000,docs/guides/best-practices/prewhere.md
How can I measure the impact of PREWHERE on query performance in ClickHouse?,docs/guides/best-practices/prewhere.md::4000,docs/guides/best-practices/prewhere.md
How does ClickHouse handle queries across multiple nodes?,docs/managing-data/core-concepts/academic_overview.mdx::39000,docs/managing-data/core-concepts/academic_overview.mdx
What steps are taken to optimize query performance in different stages of execution?,docs/managing-data/core-concepts/academic_overview.mdx::39000,docs/managing-data/core-concepts/academic_overview.mdx
What kind of transformations are applied to a query to improve its performance before it's executed?,docs/managing-data/core-concepts/academic_overview.mdx::39000,docs/managing-data/core-concepts/academic_overview.mdx
How does ClickHouse optimize CPU usage to improve performance?,docs/concepts/why-clickhouse-is-so-fast.mdx::9000,docs/concepts/why-clickhouse-is-so-fast.mdx
What strategies does ClickHouse use to scale performance with multiple CPU cores and nodes?,docs/concepts/why-clickhouse-is-so-fast.mdx::9000,docs/concepts/why-clickhouse-is-so-fast.mdx
What design decisions contribute to ClickHouse's ability to achieve high performance compared to other systems?,docs/concepts/why-clickhouse-is-so-fast.mdx::9000,docs/concepts/why-clickhouse-is-so-fast.mdx
How does ClickHouse handle data insertion to keep writes efficient?,docs/concepts/why-clickhouse-is-so-fast.mdx::1000,docs/concepts/why-clickhouse-is-so-fast.mdx
What happens to data parts in ClickHouse to prevent too many from accumulating?,docs/concepts/why-clickhouse-is-so-fast.mdx::1000,docs/concepts/why-clickhouse-is-so-fast.mdx
How are inserts and selects isolated in the ClickHouse storage layer?,docs/concepts/why-clickhouse-is-so-fast.mdx::1000,docs/concepts/why-clickhouse-is-so-fast.mdx
How to validate the checksum of the raw weather data file after downloading it?,docs/getting-started/example-datasets/tw-weather.md::3000,docs/getting-started/example-datasets/tw-weather.md
What command can be used to convert the UTF-8-BOM to UTF-8 encoding in the weather station list CSV file?,docs/getting-started/example-datasets/tw-weather.md::3000,docs/getting-started/example-datasets/tw-weather.md
What is the structure of the table schema for the Taiwan weather data in ClickHouse?,docs/getting-started/example-datasets/tw-weather.md::3000,docs/getting-started/example-datasets/tw-weather.md
How do I install ClickHouse without using deb or rpm packages?,docs/getting-started/install/_snippets/_linux_tar_install.md::0,docs/getting-started/install/_snippets/_linux_tar_install.md
What's the best way to find the latest stable version of ClickHouse for production environments?,docs/getting-started/install/_snippets/_linux_tar_install.md::0,docs/getting-started/install/_snippets/_linux_tar_install.md
What command can I use to detect the system architecture for installing ClickHouse?,docs/getting-started/install/_snippets/_linux_tar_install.md::0,docs/getting-started/install/_snippets/_linux_tar_install.md
How do I set up the default profile for users in ClickHouse?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::13000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
What configuration settings are required for the default user in a ClickHouse cluster?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::13000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
How do I configure the quotas for the default user in a ClickHouse setup?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::13000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
What is the purpose of using data skipping indexes in ClickHouse?,docs/best-practices/using_data_skipping_indices.md::12000,docs/best-practices/using_data_skipping_indices.md
How can I get more information about creating and managing skipping indexes?,docs/best-practices/using_data_skipping_indices.md::12000,docs/best-practices/using_data_skipping_indices.md
Where can I find examples of how to use data skipping indexes to optimize queries?,docs/best-practices/using_data_skipping_indices.md::12000,docs/best-practices/using_data_skipping_indices.md
What data type is used for the description field in the YouTube dataset of dislikes?,docs/getting-started/example-datasets/youtube-dislikes.md::5000,docs/getting-started/example-datasets/youtube-dislikes.md
How is the rich metadata stored in the YouTube dataset of dislikes?,docs/getting-started/example-datasets/youtube-dislikes.md::5000,docs/getting-started/example-datasets/youtube-dislikes.md
What type of data does the uploader_badges field in the YouTube dataset of dislikes contain?,docs/getting-started/example-datasets/youtube-dislikes.md::5000,docs/getting-started/example-datasets/youtube-dislikes.md
How do I modify existing data in ClickHouse?,docs/managing-data/updating-data/index.md::0,docs/managing-data/updating-data/index.md
What are the main differences between updating data in ClickHouse and other databases?,docs/managing-data/updating-data/index.md::0,docs/managing-data/updating-data/index.md
What is the process for updating data using the ReplacingMergeTree method?,docs/managing-data/updating-data/index.md::0,docs/managing-data/updating-data/index.md
How should I configure user passwords in my ClickHouse setup for security purposes?,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md::13000,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md
What should be the contents of the users.xml file across different nodes in a ClickHouse cluster?,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md::13000,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md
What command should I use to start my ClickHouse cluster using docker-compose?,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md::13000,docs/deployment-guides/replication-sharding-examples/02_2_shards_1_replica.md
How does ClickHouse optimize queries for faster execution?,docs/managing-data/core-concepts/academic_overview.mdx::42000,docs/managing-data/core-concepts/academic_overview.mdx
What conditions allow ClickHouse to use the primary key index for evaluating WHERE conditions?,docs/managing-data/core-concepts/academic_overview.mdx::42000,docs/managing-data/core-concepts/academic_overview.mdx
What techniques does ClickHouse use to avoid reading data during query runtime?,docs/managing-data/core-concepts/academic_overview.mdx::42000,docs/managing-data/core-concepts/academic_overview.mdx
What's the most memory-efficient way to perform a join in ClickHouse when the table's row order matches the join key sort order?,docs/guides/joining-tables.md::10000,docs/guides/joining-tables.md
How can I reduce memory usage when using a hash join in ClickHouse?,docs/guides/joining-tables.md::10000,docs/guides/joining-tables.md
"Which join method in ClickHouse uses the least amount of main memory, and are there any trade-offs?",docs/guides/joining-tables.md::10000,docs/guides/joining-tables.md
What's the process for a node to adopt a new state in a ClickHouse cluster?,docs/managing-data/core-concepts/academic_overview.mdx::29000,docs/managing-data/core-concepts/academic_overview.mdx
How do nodes in a ClickHouse cluster optimize the synchronization process?,docs/managing-data/core-concepts/academic_overview.mdx::29000,docs/managing-data/core-concepts/academic_overview.mdx
How does ClickHouse ensure data consistency during concurrent read and write operations?,docs/managing-data/core-concepts/academic_overview.mdx::29000,docs/managing-data/core-concepts/academic_overview.mdx
How does ClickHouse's query engine handle searching for specific URL values when the URL column isn't the first key column in the primary index?,docs/guides/best-practices/sparse-primary-indexes.md::44000,docs/guides/best-practices/sparse-primary-indexes.md
